design,temperature,predicted_power,real_power
ss_pcm,350,354.66865608215335,332.39
ac97_ctrl,350,8717.270986328125,8281.74
spi,350,2234.2452285766603,2348.14
fpu,350,22649.88951538086,23060.31
tv80,350,5260.363212585449,5264.61
simple_spi,350,590.7519375610352,623.25
usb_phy,350,369.1790863037109,400.56
aes,350,14702.489788818359,15186.43
i2c,350,658.8146960449219,677.45
wb_dma,350,2408.1279495239255,2431.9
pci,350,12520.678248901368,12276.91
dynamic_node,350,12566.278087158204,12380.66
sasc,360,538.1235315704346,534.89
des3_area,360,3343.7496569824216,3338.37
ethernet,360,44733.83922851563,41427.45
ss_pcm,360,354.6677825164795,332.39
ac97_ctrl,360,8717.266256103516,8457.36
spi,360,2234.2438095092775,2065.9
fpu,360,22649.89975402832,22463.43
tv80,360,5260.367374420166,5384.0
simple_spi,360,590.7499672698975,619.09
usb_phy,360,369.1840911865234,400.56
aes,360,14702.481213378906,14517.8
i2c,360,658.8165175628662,681.68
wb_dma,360,2408.1269577026364,2384.47
pci,360,12520.682734985352,12425.89
dynamic_node,360,12566.285289306641,12288.51
